id;number;account_type;current_balance;available_balance;customer_identification;customer_identification_type;customer_country;banking_entity_mnemonic
1;54561;SAVINGS;90535;20668;analyzing;Fantastic;Ergonomic Rubber Chicken;2LK6YLFRL2
2;2327;SAVINGS;11816;69289;extensible Accountability Handmade Cotton Bacon;intermediate Table quantify;Wyoming interface Cotton;L11P4KXGAJ
3;34080;CHECKING;75087;73990;Configurable iterate Liechtenstein;navigating encoding;Fantastic Small Frozen Salad bypassing;IHVPF9VE2C
4;95060;SAVINGS;44844;9170;Money Market Account;Danish Krone parse;neural Wooden Optimization;DCZIH0JN5S
5;35091;CHECKING;61821;86686;bypassing;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;358OBXOE11
6;81279;CHECKING;98600;59188;dynamic bandwidth Buckinghamshire;Oklahoma communities;array supply-chains Advanced;H4Y2YJSR4L
7;11752;SAVINGS;96217;40022;Glen Refined;Mandatory Assistant;Strategist;A3OD5532K0
8;99296;CHECKING;62939;21680;heuristic Orchestrator Naira;Legacy Unbranded Plastic Chips;Unbranded Cotton Table Generic B2B;GLC09U035Q
9;46369;SAVINGS;7773;36034;zero defect Ridges Beauty;groupware;Credit Card Account clear-thinking Frozen;QQRYA01FTI
10;94979;CHECKING;41824;8274;SCSI Aruba Chair;drive online;Liaison engage navigate;V24JKH0QQX
