id;main_street;secondary_street;number;city;province;country;postal_code;address_type;customer_id
1;jM8rhdCMXvPLKXWhpulmHaOYdOkqNKmmaKd5rjCW;bFrazJlUOexrxkC863sRAwfLP;MwvdqdyeFM2kw7q;hrbFzmmauofTKzwUBUZqVUcSMlGJFM;JfWxvOnhPcThzrOZlwsEXaVyXUKIvj;tIYodgaZkciTWYkpXQJUDOHMvhCYan;2327;WORK;2
2;N1esFFhLroIlZcpFy06SPAcbSW4uuxQ EHL1E9oO;YwsW79MORXvqOPkvXGQVQM8hzO0vyv;4oVNbID7KWblmlh;tZc;QtPNqSVxIgfrCXDTrELqaRXponLLkz;UDdqtGSRyNQKhNxL;58054;WORK;3
3;1hFP AeZykcE1ejsbefXFA0VsrimCYbBxE9i9C0z;3mqjXxYnHY8Fw954DUFMrf31qfhKkesJkl1s1foJ;jKOlZUbIGOsDWEU;cCbpiSqcuzNiVwJMkJvTKUcXbWQbgC;OGzlLRwEiX RWDtTzOPhuQXHztHWiA;asHrLczMUGXYYPf;31931;HOME;7
4;CUen5sJf72c2WtwVsqfjfi4sTZ5t1RXexzOeQfQn;0PCIQAM5tQ1;4ZScL00dxpl85tx;YDIxNCPlLWUTlhSeoMXGSupoitNpoH;GvTCvWDmOcjukDQxqIwJyqAUFqsJJi;GlEkPEfXvCpUlhWIicrzyxyyiWxLDF;97424;OTHER;1
5;2qpUCTmBly9hG;Zl6g8wN4IB1Vmv xqAlzFHCOw;ShzULYWEd2qoWfZ;LsVInFjvFurNRSaHkMQGuhMgAV IpC;kbWhtvzzPAuaZBVDjPB;qBUXVo ZXFWNkYFLrRroePDulQrMmh;70624;WORK;1
6;znEw6PLjfW0AKF8XuN2EaMSbijswffOPGDGWTMg ;dO5bgy1wkbkae9fQUvzLMA4Co9WbI5BwfTyUqMkc;sDn1qSuoeHM6KI4;aVeWuCvYgHotHdxyTueihZ;qtijbOpCNrpUul EBMaBXxzxlapfEJ;NdkrnqmLAoFjHqBLdQmSfSGVxZUCCk;37798;OTHER;4
7;g3U3gatnqk1VUW0nQVXAaXBGgdA;cppDVPuASlJT7cd83qiBfFU7sQDIZ7nRlryK XUQ;b9PhjqTPpJCXBiu;qLftxClJUwtZKpfiqqWpzokH IWASK;fgqTgUPDfSWCi RCvbYxnkoe seVtY;FVBVftsPXgrrKrEOXPdfCuoEVOtHAA;96217;OTHER;9
8;kwaM5h6ia7cb;Du9xFXx3rSUJjc ZXLgn5v0BJJR9t ajvEuZNzV ;FEfB0t3pKRU4AyY;OBPqwOnWJnv rOzIlOEVXZnunviFKl;TSQmnSFLGVfpZzYzifVyTKlFRjJcsE;fmpSRZrduwvStWYWFdEeZCzaSoAxUt;7543;WORK;3
9;dMI1M9lYcO1b2Mh1q2X9ZE8hLLtZyKi1NTCgjqPT;CbEpYHL4KeIUQNjygJJhYZOeRbRhP50m1HbysIGP;ucuH5IJ7eszg1Os;yoGFsGg UlmWonTIxVmqtPzMdNaqrn;OAkBuaTmwNANDOLcPsNQVsBXToKnbm;yAcuwpUWkVfevWKfYNsokbzstHIN;36034;OTHER;3
10;4oWuqI l;yx0UocUAVYEZD4GO7kd3QekP88zxdKQXORSajTCw;ByK0gka3ER0SgtZ;eTAlj QFkzIOfiCcZHTPJSptiwqlpA;OEYJCuTcbEpwJLugmQAGVWfqao PTW;egjwNCxQBmhmpHLJitCIX;4521;OTHER;4
