id;firstname;second_name;lastname;second_lastname;identification_type;identification_number;genre;email;birth_date;country;client_since;user_id
1;GeLELHJzkAiRmMsMFZeFDVxVGCsuup;mhQipdTgnbquJIUuNYnwLhqGxMdhOl;qhMV;bUUPwlHSUnhvjPNynIHpZQlwS Pyib;PASSPORT;ZWL8F6E4WDVKVZ9ZDX0V;MALE;qohXx%8X7z-hddY+ZG.Sv.6Ca7PFbvWk1JZO+VAvhNp1Drum7q%_MHiAk_2A7+g7r0yWu_1y8%ITVTFUEU@qDGu1.tZyQYSSNw8gxjNQnfhLrl7Us9hxkFm;2019-07-16;fpqPAWfBMZcIvnoFZGrN;2019-07-16;1
2;Vj bOGGgyClSEquPPHTPffqrygksMc;zfWwTcReLbhlKlQEimGEsSjWecqVWP;LVTlkhFAMWtgaugxGdnSraNAbesboD;MBXJRSHiGJHWzcUtZMocOZcVBMWOvn;PASSPORT;HP7R6FLZDTAQAXM1V17I;MALE;n%qZDuIgLkxBb+n-g+EpR1n7qqjo6VLamqiUwxGFlVET5LEotkmxuP2yynDDL9IFYkN8XO+kmQ87Q-q_hXOtnbkSYv@jnGrfCq45Ti7Ov-nde2ee.Er.Ytr6yUbB1kTkXeuD8Zq3aindab-9d4R.Xl0sudqkbR2EgK23UuJnPE;2019-07-16;rKKRkLPEoTFNNHSqpSAj;2019-07-16;1
3;JFdrdOBsoisHpHWAQKJedGDmPxILXK;ZvvVhzTllFutqwhCaArzGBbYrms nu; MWDKoiolxBnBYwgzDOxNdZYATjHCj;tpyGbQkRdgXSasYwoTPeukKSstIdTS;ID;X5RUE19MZYFAS5NPV6NJ;FEMALE;9%zHG.ehF9flN5jcpuKj_JqFB3ry3bSje@A5iiBNkBCruufwQcueGfF5-IoFxPcFyeq8XyVqfBs8-AJOpDoyDak5HjRW.k6F0RM54d5~dMXh;2019-07-16;l IfZEjiBSDVWwCeKoIz;2019-07-16;1
4;HTC;sQrwGxEut iuWrCSGuSMAcIisgxLPh;vuGvytSZRjCemhurbYMiuksDUwAgLa;q;ID;J0NNTAN367397OE7ZP9U;FEMALE;LyfonG3DIFOkR3Sb5zVfhClov@EjMHOC.gG48FgA7kBIQ.UofoRVLDIp27xF6yCfXU5eeU9ieIfH36TzP6a2mL5hWyncw55PG7O6NqfYDBsf2FmKo"aEJ;2019-07-16;FkvhpeiQWxFj NUxxhuB;2019-07-16;2
5;cnDDffVOuNbJKZVkCRGgVrfWHDfk y;CigkIHtRMBsVeO YYxWGgmPgFujExg;NPgUvOQTVudxa VFrHyXPYZWAAEWmX;TZBrQiyoyuUoAntJFCTVotaEkwhfPg;ID;L1W2EDSF9F17HY1UB45E;FEMALE;H6ywaNdcyuB2nYCTyV.t%.zukoH_9BZGZ8@ctmkk-yLlVRmZySjyMB5zgPIjF0yxYT8YMIHb4mBVG6724TtFa3brZdI2HEGcSEMvPPXENErZYLDA1MUpNzq;2019-07-16;vgdNpZchdDXJVAonPood;2019-07-16;2
6;fNcfPqah XlQeDddjyASUUWtz qIGf;u;kOtGzOuTxh;MLfJkvKbgYWRfYxQbTfrYDyVlNrTHz;ID;B076618GLL66NIQF1NOS;MALE;s11eGSbQ5KHCvZK@VFHWeQh80dtDVOIuT7LzHZt-x Htqc;2019-07-16;wZbSZsrfUKMRZxtqGHHW;2019-07-16;2
7;KQTejLQgInAUNNXUKvfzViFdZKxpGO;ZGciVVcoJbsadiTNPZPhI BqljGqkh;MxrjcAbbr hWnAaiGNlLldYbowVMJF;ZYYWVYDbQaHd ixKJWpXEOWaZdgaGQ;PASSPORT;IGCRCK6TX8ZDEQ2TOEB9;MALE;T7XdZlPtkaRR9akJPLxLg2jrkVh51XUD1M@92kNLNAuS6S48WxI9xKXjIsA7Ed62OzdHuo0qTgBkv9pBj6.iPTxckb5BqE7SugR2vG4l-DDbrIFFx;2019-07-16;IzKxMtXnNsBaMNGLlUBT;2019-07-16;1
8;PhUltpDinxSFOjRcHzTxJDiZkDWtiH;iqjLKZfliWPsQssawFURpICTYWRdIP;WAJSJIpQbMPSrSzlezeLytfqBAvvcc;cABhTPVS GwMLudwIbNkDCVLN ;PASSPORT;5W8PK945U2W4BVKV2RGR;MALE;LtS9.elqkGUhKUUa%dFKU%MaDqTYJ_cyqD1Akuv+jLnun4JYBG9s_0K08PIRlc49SY69R4v7CjJkKx+f0%U@25s7mn2j0T3lnoD7UuFJw;2019-07-16;WkaUabjdCAhOcgDUpDkV;2019-07-16;1
9;QtKoaTSkMbWQZZDrKZsqCJRRFXU cp;qiLJIhddLRk Ye; AtHBXuKmXroEjGYzqYYTDClQqSYrT;YvUCRkgGOvJFYVKPdHhAzbibcCRVqM;PASSPORT;MUD911UK4U8GGQOGPZXJ;FEMALE;gUe2O5iPiuwMPjpjWeInB6VXWzU1kE+nY7PRssx1_U7EYud93ICaDU1PO6BZORpmMPmyAu.c2v6_JJIGYS6wAo.WPREj0xSMc@g-7RxMOTfIlotIulh0pHE4Ne6hDshgp2U9P2TU3ddZPYJz-i9mN5RAg4bcqymmsz6ECqfyh.wUAgVkdP;2019-07-16;R;2019-07-16;2
10;QNDrRFyCvWAwDLdrvnotNgDqbKJJoY;WaR lFXWGUswYrALWFu DwxOtaSAHp; bJIGiyfgtdxRPFiDsZAVItjPkLAnL;IiEXLIGBvcGx rdfMuiPDSsqrUUXkM;ID;H2DA9OVL3RP6I0ZEN2RG;MALE;SxmWkfJUtGI2.ixb68JDj_9FVtiik_RyrFuhRs5F2jKPmvUH8f1vx2A76eA-35DTHp5sQGVzDBxg@TzJ4iWNZZWVnmGNXSHEvFxg1HLYVMBo2ROa8494NmOQl6V00jT8JQeAD!PCy;2019-07-16;zfYmfweouCXUbBtiWHGw;2019-07-16;2
