id;name;lastname;genre;email;birth_date;relation;customer_id
1;zdRvrmmTkOUllpJafsGwgspK;bfYQNYcquzNkMZmxVvNpXBYgpxOcek;FEMALE;Y2IblnhPFBjtHlRgs__576HZ%l_+.Bdgb74CQqD01mZuSa8eesNgmrLNQ_4qNFlN9V-6xK4xqapn8F_zmZ@YjaVlMLhAHf0HzOGh.LMFC5VIsNx0Fgz42AHQy3ML1Ov9zfJEqkgYqpzvDzdh9hiKfn-sZeIO;2019-07-16;EMPLOYEER;10
2;nVcyTmCGV;RemkcDPNseWInaWuBMlxOX;FEMALE;TyB6ITaQjsU0sI.bo+.Pz6cy5_RUL2uKdOZeo_2tHZKN3HIltrrhtQZor@055OwPSgVa0LhVIjw8bShkqpNfZNVaLoVjjvUrozDwVUzJrsIWACl.IScDNltkXotWegreD-TfPYn0PcN;2019-07-16;FRIEND;9
3;kz;OKXDpLOgvynzItPwKkqFFAfuuSBsuu;FEMALE;csOPHSWk+oH+EstPIkKY_P%uh%JFWnoYv.ZTr1fYSVBnf@CBK24tZMwK.zfKagG6ZJvi09yLso-ksR8iu4Je.VEIu~tXe;2019-07-16;SPOUSE;4
4;BrNUWHydXpalwPmqLuMwvxw UfTxjf;JqpYdp sgsVoJEHzakeiZ lrNjNpNX;FEMALE;8APOMkigVL6t93W0Qo3oUw7O.FWV2.aZAcuunqFKu+g0FQbkxdX.Ml%vMDs6QGhI.ryVypCqp.Jgsh@4StPGJO82idA2GvUL5smzJolwmgEIRtP.7iuH4tN9b8evYDlcNtf6L8uTW.Pb-ZbmsMpo4Fga2cjfrgFGh0QwSqajVXupid-kLUA/zJ;2019-07-16;EMPLOYEER;6
5;CDyrsRCqHOkdLRJuyyDkIhaOgjw ZU;NeikEwPkpULkqAGwhGaghqTWHQGJGI;FEMALE;3DsMGp.d3mG2nnZ6nGVZcxnV9mJbNZs.vFoP0gRLd@86blgUfdIr1AthLoZwZMnXquzIqcx4aY7fdUlcI0C4UTW7-8XVeVGDL8SUN4h.T-pAeS33W3bG7xZCWg7x.9GoXmYGIZYY;2019-07-16;RELATIVE;2
6;VNmXlhwOhINWo;UHLTEGdDhkkczEHOFUhvnNkwIpvAKt;FEMALE;gsGl9tPdEJ0K0lWxD.ClhSpD@bGtl0i7T1Oec96qoBUzhSC3yBsL;2019-07-16;FRIEND;3
7;zlecHkt WCmywLuwtPgvKijAvsXc;KctRlNmvPdfZdP;MALE;AzDsD01uUr.BWAs1PQE5_A+nD73qMrIqv8RYBFRjWSE7V3nIrbso3CrNalw--oHMT@GentHd3cb4NCGRoRDT6Vv6WIQtvwHgQtqfnRnllH;2019-07-16;PARTNER;3
8;vtrmolifrefAXNOagoIBUMBeBCQMNm; ITsgqPidFGYVCMnKWuxsozsDFlONM;FEMALE;tv6lxjWoTJP_X5c3YbmEd2YY@H9wgnn.NoVYRbQR8AT2x8DtSCIhNixb4Vz-lpdMeVS0NEXYM9.-gUU0UpqFK1NfN5BsGblHzgw;2019-07-16;SPOUSE;2
9;NeVOHempzzVeRazUCmzERppyYoEfwY;rXmQfp LS;FEMALE;y%+%M9Npt2y-3oKRRibn1PsikHrXRWgaTihAWgR0_gbOe4F3a68aWN9DF27@iCNml-BCwSBz-DeHbkMvxIVO3LNf2xogfTvYrE1fxP2kIKTpIPDWZ11MdT1W6Klc7d2eq.fZy-WZx9rwmaGIki.-vhAMgcdo;2019-07-16;SPOUSE;1
10;JWrw aFzSurCdaNtIVeCbeBskzBuuS;xnydLgryGqsfkGrs;MALE;aZY7mo_9sCfboG@niv5CaCUYcfgdE3ZBGF.fSblBe4ALJLxAGcxPDyspO6hXWf0CqIqOp9svxj8m1SW4d5K1ZLjx1c0wRFnp80arb;2019-07-16;PARTNER;5
