id;main_street;secondary_street;number;city;province;country;postal_code;address_type;customer_id
1;D2dVRvXl2ryQ1b8FkYBgt\eM3cQwVksv5RB6dQEQ;9gu2VZYJPhJpmmHz\gonribfAqd9yF\N6ahGxvwx;GFEXQXQZRl6LILK;SowiZAFPzFDXGBFzJx\OqUOJHNChJf;jQaSBjdKmeVfPpuhxPFNHrPS\rtKDf;jrsmKLnAenRkmfRSyQgZdwuiKaOCWR;75061;HOME;1
2;vdYdG3pQmuno4XGA1RPXIj87Ys4Te9kPO1vq4;6jgX8OH3o7w8N04I;rgAmX3eo4dwQOGb;KGXOTbMPPetdbbzNzTuLuftkWwWroG;\GNHShg\crokWBkiToRouTGiuhjXkn;DAytAXwFyKngzeiFWGQEOs;29763;WORK;2
3;znNKX;6JgrpRTA8BjMG\Sbi9ebr\EBkwNgSAnRNJ9F0Inh;VCwRnkxS5LhhOBg;nBCJ\KejHhA\nEtOSVyhfjhLXZrUWs;uehwxPLGndcPltZFzlChrZKhTQDVVp;tDji\VBpkX;78129;HOME;3
4;4tMhMQpmRrBs7GlfkPZN4wTUrsziwH\lgzdMcu0t;oKe6f7XYYumgNsjHgoHCOznSqeh;IuR002rDy1vIurG;uoBRIbhBuSXaQqTouKD;sEmVYjlJoCJVwqkNlAfjWawISLhevO;XlQUGIIDiLbZweoQUQpjRYtnthQtQf;70624;HOME;4
5;pLfwbB9epOYBHHOfksfF7GlDtBb2CJsbpbCWKdH;BDPCwUMu5HGcrULCW2JYPSl54VJrSdD9vlli\K4d;s7KppLpEDzWtDOu;fPtubTwjIYLRDwGkVLFJb\GCqPivOU;nSqKROBOglfEMGAQoYwNfQzpSrrULT;PBkwFjCsGWXktwszojS\PxvhojErhb;55840;HOME;5
6;ReaetQqFVEFR;5P1AfOsLbzwFXICx3xe99lZuIXVvZU3abB3PKgdH;P5JzE7FG53RZHGF;zYzpQeeITTbgbQBfIYfqqqqC\CEKdL;vBbkuKkZXKlclzxwBdULWgkqYuBIbY;JWYhpReviLDWcDqqtjBJCO;43633;HOME;6
7;dNsBuRRN7a8oYiF3Zu1WOeJ3RzGZNJOHTR9Ct9cO;C4KsUdWZoieHUv8\5EQBUgVDYRjzHXO;14tH;eSlFHD\;vcDjTtx\rskawAf;WEnNAFdJxukXa\veOLNUnhiwRZSPxf;29449;OTHER;7
8;Fevk1WbKo57I4POYNNyccOHvM166L5NjsXgthUa;uoQGL4dPvIF03OWhlWFN\\THVYG\ETu4GsBSh5C8;rRaG4u2EkOojA8c;YbatkoiTHUGurHoJdwyJuvjvEmDECw;ClcvEMGJEaGTkNpXLTgVlakLnsLdbk;TZNcZkMRmR;36034;HOME;8
9;lffk15bEC0MHDF84lF6eypY6olqb\RZM271cVYXC;AC4zYUXIAgnVsDwIkLKeW0Ct;wN9AsDRWkl;MtdYnZeitnZPSXRNzWnHIrbNxGRTqc;\etbZTytWAjrfVTekZDsuUHShwjXtM;HzvURIy\Mp\cKzTgfpbmbl;87666;WORK;9
10;8xgrQTxVZj\t;pgr7oR0tQ18rjw6QhwYD2UEy\qW9Fzr9Q;SezO2KKmqQyuYYC;dauqQNMIEAKKNcgHlWIMdOucDzKtyr;mZpvHOQmnNUkmCucpkaHxDOAtvwUFx;UO\QgCPQSprLWBTtmvWvnuplEOpD;53434;HOME;10
