id;firstname;second_name;lastname;second_lastname;identification_type;identification_number;genre;email;birth_date;country;client_since;monthly_income;user_id
1;sOOxhCsGPVVxLbBPuuBVfjcxDJYCSA;JIFs\oOtuHkbjdqrXygDS\U\iQmxWW;vrmIcSczKYhZS;cNkFqCpFjzjIILCAcSWnwRU;PASSPORT;R23SYOR2H8VDP32ZPAPB;MALE;yGOj.KxOMVqzASnsKsxe8nuQKj4YY6QSDGoRhtprpTxvv_61hy51ZkCbfaulZLFgeotS.Jbdn@BlJDsC1RRlswv7-wdAs-MBhNxJm9STMFbcG.HsN4jlj;2019-08-14;QnyfhHWDsOyPjGMkp\GK;2019-08-15;4666;1
2;aO;ByAWdzsslV\EBAEYArkxqERprAqKQq;JGFIjhrwBPhYGzQFXBP;ObTIAHhA\krkmgQygh;PASSPORT;MQLK7XQD7ZZ7B38QCZCQ;FEMALE;QeHmoMe6RWXifYfwfgjrijRYCBOD7hgqPCnB-yke+8pEuOLbbW8p3evY_8NTGAPNfZGYqWpHxrBPmR6M4CBUHpqSRWEop7r4nZchW@Hee-8DsH04RaaWpBH;2019-08-14;iYpiSg\iaynbuZhOgXhV;2019-08-15;18223;2
3;pSrvsheOSJTpaMtqMqqLqmTUkKpiuW;KgZyzLmbmkUYfipmb;irIvpngzQfFcovciJomTJAenCFvyNU;kWI\nMRSuvbRiXaXxoUkIhvSyOnRfL;PASSPORT;M0KT3EK12I;MALE;E+KFybOyT%H_6squgQ-VH7cR9YsHXIhac_DchZ_Cj@i3UcITeo0j5Mr4aH5oZ7`oVu;2019-08-15;ah;2019-08-15;98688;1
4;eYIAAa\bUsanmDjqMUGUerWpMvCfBn;GAFePyKQQpOqCKCGgdJknvjALpHmGl;jk\dSlhUHryKtSnQUSsFXkWWZmqCoq;kCyLFSnJkUGnevpb\RcFZhqPLkVRUc;PASSPORT;IAMNENSF31IF834OIHCE;MALE;piHEQnkhDIHC1vnObG9u+w%bC3MEjw.wbQd1hiJ8j4OAdIOjTGOg%M3I_Npi._Jm7b7llH+tG8xRxdm-IiAcVFkBWuM0wDsv3@KAwCL3b-azjGrfnn.l3SIpEo3isNfnrXL;2019-08-14;\tUACsiXMhQKLYgSrq\l;2019-08-15;77096;1
5;Vdsv;NrQaonBz;MgANDyVTqIFFOObwTdmKOmlxXOkJr\;xuiQSgoqqDHauBKOjeLGPZAugMecaJ;ID;054JKEW8ZXR013JOK9BT;MALE;Smxy6YSXef9rxvb.1qmLFL@FCjJabhldfhJaPlpAV9kAdR.4DlGph6qqPCdlJ;2019-08-15;APLhYfo\eLdimORoLvVI;2019-08-15;89609;1
6;dHCgDNtcXHFualMeFyuhaSPUHMASkg;ftwnaDFboz\OwuadyKgjVhWwUKBjPE;qsjggavsJubLHAJvPsDkDddTYyvtdq;joZ;PASSPORT;6985IRNJIH0BW8EAQHQT;MALE;RG8Vvve3sqz-IMHMsdmAOi6mucJjiU4h5oRxGnuYMbU_1gsRxa@DsWVcT9bsfSVoIHijUwJBkfyQU1ld22hR95XnPWm1YEw2LuE9aC8lKLKfGDGrFvbMDsgqkJDT44v3IyftM9ZxKSJy2W6eVguMXv;2019-08-14;QfNqsvWjNuxMtqbGbNhn;2019-08-14;24687;1
7;QfUYSopbcoCxwbPAvEFn\xTQGtwIpl;yxyuocG\phGJiuAfYZKErwotlHygoq;qwaJAwrpMfYAvQNfUoT\BppBdQAsPl;pSa\iZHEnmRMJyNMdfgqCPPnxsZvUq;ID;FMIQ5B8GIJ5VLIYNHXN;FEMALE;HPmyX5lI4mHMBT_QPgUAIZA@V5O9I.Nv4BfQJqELCUO0oA3UPoJfwyWkFAtoK6efG.k2BvPTk9Gp7yuex5.K1UA7d7u4-G2ZWPbJ;2019-08-14;BSMTLklEFSFvdJEYWMyP;2019-08-14;39882;2
8;lnBzOaTHdNZvDZJQCLZDINSMuZM\Lp;BaKzHSNHMJ\WlYzFiCsWyEMAxvpVVv;LeeAbLv\olrzswidLTqugUzlaDkVLX;ZMBjfQZkvbwMS\QGiuGlnI;PASSPORT;79VJV;FEMALE;djn6dRGM12tSRtszgwPIS@UwVa2pElVNQYTPJN-n6Zb3dVYWpmlzhaelkBgF2fihZhv4oIJ5ckMxFUo0zbt7ts4CXW<RyP;2019-08-15;ulIgqvGMwShMrYlSoBZO;2019-08-14;55520;2
9;HZrqBBClwXVyovvNSKIRDrbIwTHYqY;xRbiSQ\TnQhVlDMamQsrzxbjkGWC\F;bwHXwuUyDGFUcLIowhsgCjCKcHKrxV;tolmQMYjryesPHUjPHbyxKovCROfhs;ID;4W2I4RWYCPT2YWRWSPWB;FEMALE;sdx5Fuz35h_DmRr3%HYrWrFbCz9twa2hy_uKFrBz1XKZV_32OsO0ml19WpHrYJ8ED93NwuDOJk1Uf-HfbMy3@-kLxXa1gmMdL11mhIMFtyIqU1qU7PFPfXAjIzebeMjus1NblPjpOG17WqBlrG7GGd9lRX;2019-08-15;qi\jjorewdvqPQtICPwD;2019-08-14;44842;2
10;dEUxFzXqpbZIGAGmliJQkLlcDa\Rei;YiYIYvuasLUteFYTdbygRZluViE\Dx;yZkBqvt\EN\KCsqksxegqGvAmHNdkU;TUyQiafxBdqPBjowTsWq;PASSPORT;IGQR;MALE;RVc7N9tPxl8SHIy5wI.+IAb+EzESPn+bMrVDZwTQEsg6UptJl+vd_gnPe3BX-A86J@HwBtpnAlmLPc-iRp3too3UOL8Q?kqS;2019-08-14;pTMjTJEJGKFzCgRr;2019-08-14;19524;1
