id;name;lastname;genre;email;birth_date;relation;customer_id
1;RbZwFosqsoXvYKGsEhXVIfNqeqBGKR;iWTEUKPrtanbqqlNMXGRPEUhCVtqOl;MALE;GNyZ1CHQO@.h6ysLET6BVNC8t5KoCN-q7NSQAJKZ8-H-HOjhxvcTSSnx5xQyWQ0Mo0LGHlIT.h4jsioRM1tqqzQQAB2bjn0GzFInzdyiEJHn;2019-08-15;SPOUSE;1
2;roWomzsj\MgtRKCgqloQmak\PpWxJe;b\nbFdkULFpaHTZtqVzScUgRRDvrIa;FEMALE;WpAe1OZ1B8prdrqKA%qTRJDkFrF9Utx0YHgBoXu8qWBhFMOX1q0Fb+VHE_zp9H@B6WrP2u.KHVxkICvvN2P1oG.hL1juDK;2019-08-14;FRIEND;2
3;sgtKgaOGluEa;CVKLV\sAezwECoyGkhfTMeVmfwusSF;FEMALE;QO7WcPBSl@TIuP9.oYaJQfP8EzmlC1FRTBf9Ieh-DP4jS-CO0EteiwsqV6vl1.yQcpA51GKD3#FNDd;2019-08-15;EMPLOYEER;3
4;OMQhYzDAwH;wIKgehf\PmPLKBriyaFTbmIGpdnFxm;MALE;A5CTjUQcVc_UB00dx_KT-xaTIZLcIRPUVzvGBHTHGZSZylV0x2Xzf8sI7y82ABK+ONG51x0B@pNyExeShoa-gF.WjfMXR8r4mCGLBgCLg0Ikw0VADExVhOZ..t25F.Yb6C8CpHsgliJCmDEkxIn;2019-08-14;RELATIVE;4
5;SaieXXlDLpgcsedNvyfmWefAEryuOS;nVGCMXtLArJAslfbINVUAGKP\WrgwH;MALE;tBHMFHis@PC4Pbe.Q2feBESDQK9ZuvFlwUil2de?XzmV;2019-08-15;FRIEND;5
6;FyV\YYUosPtVTPyDG;PqQQudqDXlTIWzjCllaJfnFoDgxPvE;FEMALE;kW+qHGUprl8oBxj+y4JfVjIuxCmpXg@08ji2YjF1-uGT4PY3fUyC-i..6CkK5kDe1-XwX5VpzFgA0p2rNT0-OrndW;2019-08-15;RELATIVE;6
7;PSPxk\oKmtkT;AFOcCUC;MALE;mUaaj_oFx9eg0hBvy5PmlI9jZ5WyriPubq3-k8YJDFNJ6xfYuxtRXoF7L@5SP7iW0TIc7rYK96ReOed2gmgpilu3Xll"fxg;2019-08-15;RELATIVE;7
8;YwzgtvZWRWnGJYwb\RuI;USmNlSrVMbLZArsLWTMilNiRJKlLDU;FEMALE;vdTGdwG1QFV0WJ_IbiVJK_NhNnNagtu46+ekFMBBQjx50BPOPUv4qQxc0u6HWnEUqiejd1mp@5b9A-lJmjcQkNbnlxAqeJxYMPYuMc-N9XMPYksOvAvXDx723T.yl0Zvwe1r2hqKbJ7Sx47nigg6Az.3EO0-nxDTAwjcbKmcNfdxFSPMZ;2019-08-14;PARTNER;8
9;sxjWLFdVpuscRkxZzqPYrwdFiAkSft;wrXyodhnODNthicupcdsJVDBW;MALE;Mg650N%F9X.R0u5Q7MxRZS5%wn9cxhwe.G8BiQ+k7@lac2U0rW5HW6t6aWdx8VUJyi4Zjxt5dwoUaYPFckAwheqU;2019-08-15;EMPLOYEER;9
10;uPlcysJeiTZCS;icGbQQFKzcyCudqaOjpzhhKUkNWyfd;MALE;cTZbIz56-pJF5@4Inmvfy-xgBTS;2019-08-14;SPOUSE;10
