id;name;requested_amount;given_amount;loan_period;start_date;end_date;justification;debtor_identification;debtor_identification_type;debtor_country;banking_entity_mnemonic;banking_product_mnemonic;loan_process_status
1;7oVtNtNDCW7GjEpapbACB5hi13KrIQ;39882;53577;81643;2019-07-16;2019-07-16;mFkFigwJPHYhePQiMATnPdeQXRlZSnibskmutw;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;APPROVED
2;qLIMur3WSQdSJ57dOedrZtcGNUad9i;9310;96541;89721;2019-07-16;2019-07-16;WKqFaAAtSbKpcPHGWqp;programming SCSI drive;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;APPROVED
3;No3eynJsWD;36646;64963;74417;2019-07-16;2019-07-16;hP w;turn-key dedicated;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar;white sensor local;APPROVED
4;2Wv2Z7gSB4YwQLamna3WCr;94045;46994;95392;2019-07-16;2019-07-16; xpoQZhzsbhXEHjxUuqbFOApCjXGjtclwhZAqPHvkCdGTGzTlhbMaexWxGJMkY;Venezuela Wisconsin;SDD disintermediate reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;APPROVED
5;6lgHvNXQRW42nIXz8z15WO2qLPxTqp;70891;35949;55281;2019-07-16;2019-07-16;ZOAVnjPhIvJZUnbheYVLeehiNlhDaNJCrMZuFXlWKQbXUUWoNDMfgHvdSKDQsVtuYPoiuADcXulUicjTwGVkT;Avon;Auto Loan Account olive;Yen;Unbranded Fresh Pants Tools California;North Dakota Garden;DENIED
6;0SPxeYHevxfBS;36019;53708;12706;2019-07-16;2019-07-16;susVwQbedpWiJzxwKecCZkGGB;backing up;Iran;Philippine Peso Metal;Strategist;card Licensed Cotton Ball;DENIED
7;OiIfTndGaKywYDzFi QuMAzHOfJOcG;8087;83598;42831;2019-07-16;2019-07-16;mAg;Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;DENIED
8;vOdbKMPiWSXg5gxG5OTYd fPsoo374;85546;97951;70365;2019-07-16;2019-07-16;LlHTzePNJKwpjS;online e-business;systems integrate;Web HTTP;implement;Optimization Cambridgeshire;APPROVED
9;x3Y8xaHN33ZuN9XPi1u6VnrNwHwByj;94425;2651;86719;2019-07-16;2019-07-16;DXsRrdTaAhDdazTqaQ;Station;parsing Investment Account;Branding Dynamic black;yellow;Books Generic;APPROVED
10;G3lzQkXC1Qj9WcP989X3GU Xy0cyF6;11816;69289;69673;2019-07-16;2019-07-16;yEgzSrwlVLhRenKUKhszOXqbJFGXRtXGbIkIBhuQMWqwPWahZoSMNSzsOmePzSv Tz;China;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure;Managed Dobra application;DENIED
